Designator,Mid X,Mid Y,Rotation,Layer
R80,51.4,52.1,270.0,top
R9,109.75,49.5,270.0,top
RV1,127.5,51.05,90.0,top
RV2,26.85,86.6,0.0,top
RV3,26.85,108.675,0.0,top
U1,67.225,42.9575,0.0,top
U11,149.365,67.975,0.0,top
U12,172.525,12.095,270.0,top
U13,172.525,25.095,270.0,top
U14,46.865,98.05,0.0,top
U15,57.365,98.05,0.0,top
U16,157.0,22.45,0.0,top
U18,25.6,17.1,270.0,top
U19,70.4,93.5,0.0,top
U2,84.0875,99.0,270.0,top
U3,53.725,42.9575,0.0,top
U4,93.5875,97.5,0.0,top
U5,32.73,42.9575,0.0,top
U7,136.5,43.45,0.0,top
U9,143.0,93.5,0.0,top
